角色ID,角色名,中文触发标签,技能标签,中文技能标签,技能名称,技能描述,列1,初始伤害倍率,伤害倍率成长,预计算伤害倍率,列2,列3,初始失衡倍率,失衡倍率成长,预计算失衡倍率,列4,列5,能量门槛,能量消耗,命中回能,闪能门槛,闪能消耗,闪能恢复,已弃用但别删,喧响恢复,破秽盾值,距离衰减,初始等级,异常积蓄,技能类型,触发类型,属性类型,属性伤害占比,基础乘区,帧数,伤害次数,是否前台,是否可触发异常,抗打断系数,合轴最小间隔,标签,列6,列7,支援方向,支援最小间隔,详细命中帧数,强制APL代码,是否重攻击,连段中最多重复次数,最高优先级的技能，可能导致其他技能被挤走,触发属性异常的方式
CID,name,CN_TriggerLevel,skill_tag,CN_skill_tag,skill_text,INSTRUCTION,comment,damage_ratio,damage_ratio_growth,D_LEVEL12,D_LEVEL14,D_LEVEL16,stun_ratio,stun_ratio_growth,S_LEVEL12,S_LEVEL14,S_LEVEL16,sp_threshold,sp_consume,sp_recovery,adrenaline_threshold,adrenaline_consume,adrenaline_recovery,fever_recovery,self_fever_re,miasmic_shield_break,distance_attenuation,initial_level,anomaly_accumulation,skill_type,trigger_buff_level,element_type,element_damage_percent,diff_multiplier,ticks,hit_times,on_field,anomaly_attack,interruption_resistance,swap_cancel_ticks,labels,follow_up,follow_by,aid_direction,aid_lag_ticks,tick_list,force_add_condition_APL,heavy_attack,max_repeat_times,do_immediately,anomaly_update_list
1241,朱鸢,普攻,1241_NA_1,第1段普攻,普通攻击：不许动！,物理,一段,43.10%,4.00%,87.10%,95.10%,103.10%,21.60%,1.00%,32.60%,34.60%,36.60%,0,0,0.705,0,0,0,4.9,5.39,,0,0,0,0,0,0,0,0,29,2,TRUE,FALSE,0,0,,,,0,0,,,FALSE,1,FALSE,
1241,朱鸢,普攻,1241_NA_2,第2段普攻,普通攻击：不许动！,物理,二段,126.40%,11.50%,252.90%,275.90%,298.90%,97.30%,4.50%,146.80%,155.80%,164.80%,0,0,3.182,0,0,0,22.1,24.31,,0,0,10477,0,0,0,1,0,59,4,TRUE,FALSE,0,0,,,,0,0,,,FALSE,1,FALSE,
1241,朱鸢,普攻,1241_NA_3,第3段普攻,普通攻击：不许动！,物理,三段,137.30%,12.50%,274.80%,299.80%,324.80%,94.70%,4.40%,143.10%,151.90%,160.70%,0,0,3.097,0,0,0,21.53,23.6775,,0,0,0,0,0,0,0,0,50,5,TRUE,FALSE,0,0,,,,0,0,,,FALSE,1,FALSE,
1241,朱鸢,普攻,1241_NA_4,第4段普攻,普通攻击：不许动！,物理,四段,151.00%,13.80%,302.80%,330.40%,358.00%,124.30%,5.70%,187.00%,198.40%,209.80%,0,0,4.066,0,0,0,28.25,31.075,,0,0,5912,0,0,0,1,0,66,4,TRUE,FALSE,0,0,,,,0,0,,,FALSE,1,FALSE,
1241,朱鸢,普攻,1241_NA_5,第5段普攻,普通攻击：不许动！,物理,五段,162.20%,14.80%,325.00%,354.60%,384.20%,139.20%,6.40%,209.60%,222.40%,235.20%,0,0,4.554,0,0,0,32.48,34.7875,,0,0,6005,0,0,4,0.690627202,0,55,1,TRUE,TRUE,0,0,,,,0,0,,,TRUE,1,FALSE,
0,朱鸢,强化特殊技,1241_E_EX_B,强化E形态B,废弃,废弃,废弃,1467.40%,53.40%,2054.80%,2161.60%,2268.40%,480.00%,21.90%,720.90%,764.70%,808.50%,60,60,0,0,0,0,154.8,187.8660028,,0,0,47391,1,2,4,1,0,0,1,TRUE,TRUE,0,0,,,,0,0,,,TRUE,1,FALSE,
1241,朱鸢,普攻,1241_SNA_1,第1段特殊普攻,普通攻击：请勿抵抗,物理,一段（物理）,53.70%,4.90%,107.60%,117.40%,127.20%,59.60%,2.80%,90.40%,96.00%,101.60%,0,0,0.99,0,0,0,6.9,8.373872219,,0,0,0,0,0,0,0,0,35,3,TRUE,FALSE,0,0,,,,0,0,,,FALSE,1,FALSE,
1241,朱鸢,普攻,1241_SNA_1_α,第1段特殊普攻（α衔接）,普通攻击：请勿抵抗,物理,一段（物理）,53.70%,4.90%,107.60%,117.40%,127.20%,59.60%,2.80%,90.40%,96.00%,101.60%,0,0,2.58,0,0,0,17.93,21.75993172,,0,0,0,0,0,0,0,0,49,3,TRUE,FALSE,0,0,,,,0,0,,,FALSE,1,FALSE,
1241,朱鸢,普攻,1241_SNA_1_β,第1段特殊普攻（β衔接）,普通攻击：请勿抵抗,物理,一段（物理）,53.70%,4.90%,107.60%,117.40%,127.20%,59.60%,2.80%,90.40%,96.00%,101.60%,0,0,2.58,0,0,0,17.93,21.75993172,,0,0,0,0,0,0,0,0,47,3,TRUE,FALSE,0,0,,,,0,0,,,FALSE,1,FALSE,
1241,朱鸢,普攻,1241_SNA_2,第2段特殊普攻,普通攻击：请勿抵抗,物理,二段（物理）,53.70%,4.90%,107.60%,117.40%,127.20%,59.60%,2.80%,90.40%,96.00%,101.60%,0,0,1.9,0,0,0,13.18,15.99530954,,0,0,0,0,0,0,0,0,28,3,TRUE,FALSE,0,0,,,,0,0,,,FALSE,1,FALSE,
1241,朱鸢,普攻,1241_SNA_3,第3段特殊普攻,普通攻击：请勿抵抗,物理,三段（物理）-第1枪,53.63%,4.90%,107.53%,117.33%,127.13%,59.57%,2.73%,89.60%,95.06%,100.52%,0,0,4.92,0,0,0,34.18,41.4810076,,0,0,0,0,0,0,0,0,22,3,TRUE,FALSE,0,0,,1241_SNA_4,,0,0,,,FALSE,1,FALSE,
1241,朱鸢,普攻,1241_SNA_4,第4段特殊普攻,普通攻击：请勿抵抗,物理,三段（物理）-第2枪,53.63%,4.90%,107.53%,117.33%,127.13%,59.57%,2.73%,89.60%,95.06%,100.52%,0,0,3.97,0,0,0,27.6,33.49548888,,0,0,0,0,0,0,0,0,15,3,TRUE,FALSE,0,0,,1241_SNA_5,1241_SNA_3,0,0,,,FALSE,1,FALSE,
